Date,Open,High,Low,Close
14-October-2022,17722.07,17774.70,17584.57,17601.70,
17-October-2022,17549.36,17736.41,17498.42,17722.93,
18-October-2022,17820.15,17931.95,17820.15,17901.52,
19-October-2022,17964.84,18025.20,17886.70,17925.49,
20-October-2022,17844.62,18005.42,17826.37,17983.77,
21-October-2022,18027.44,18071.88,17910.16,17969.62,
24-October-2022,18118.78,18170.72,18094.41,18112.23,
25-October-2022,18149.89,18169.68,18036.92,18049.71,
27-October-2022,18121.52,18190.46,18065.56,18151.16,
28-October-2022,18149.18,18232.97,18117.06,18179.61,
31-October-2022,18253.24,18418.81,18253.24,18405.94,
1-November-2022,18482.46,18565.57,18460.46,18553.50,
2-November-2022,18556.60,18577.01,18460.69,18491.03,
3-November-2022,18372.00,18517.40,18364.78,18471.99,
4-November-2022,18442.72,18542.48,18426.87,18527.35,
7-November-2022,18594.32,18663.94,18473.18,18611.28,
9-November-2022,18648.26,18690.97,18521.03,18562.46,
10-November-2022,18428.56,18508.57,18357.38,18419.65,
11-November-2022,18619.69,18731.05,18619.69,18720.26,
14-November-2022,18713.82,18768.96,18691.10,18711.17,
15-November-2022,18710.60,18790.76,18652.96,18769.58,
16-November-2022,18726.44,18790.35,18678.46,18746.63,
17-November-2022,18697.56,18753.03,18642.85,18671.21,
18-November-2022,18702.58,18725.61,18527.20,18620.91,
21-November-2022,18560.87,18563.12,18450.32,18478.46,
22-November-2022,18470.03,18578.11,18459.28,18567.16,
23-November-2022,18655.07,18655.90,18576.44,18594.14,
24-November-2022,18631.85,18831.51,18626.66,18797.34,
25-November-2022,18812.23,18844.63,18758.91,18820.85,
28-November-2022,18749.31,18929.12,18736.60,18876.86,
29-November-2022,18838.35,18983.89,18838.35,18925.60,
30-November-2022,18944.59,19139.77,18929.02,19081.70,
1-December-2022,19153.67,19198.89,19103.65,19137.18,
2-December-2022,19064.43,19104.89,18983.06,19042.62,
5-December-2022,19045.26,19067.98,18930.55,19045.17,
6-December-2022,18938.21,19004.16,18936.87,18990.73,
7-December-2022,18990.83,19034.04,18897.15,18924.46,
8-December-2022,18949.16,18994.67,18912.83,18973.60,
9-December-2022,19011.84,19033.66,18768.07,18860.90,
12-December-2022,18757.62,18883.75,18709.55,18861.16,
13-December-2022,18914.05,18965.19,18862.03,18953.87,
14-December-2022,18996.41,19049.85,18994.18,19013.72,
15-December-2022,18978.71,19009.78,18750.86,18775.74,
16-December-2022,18690.70,18801.12,18599.94,18612.56,
19-December-2022,18623.89,18781.77,18586.16,18769.64,
20-December-2022,18716.09,18752.19,18553.74,18730.20,
21-December-2022,18806.15,18826.64,18490.76,18526.57,
22-December-2022,18573.57,18646.45,18378.08,18439.26,
23-December-2022,18250.01,18353.72,18047.59,18076.84,
26-December-2022,18039.77,18389.07,18036.43,18316.83,
27-December-2022,18406.97,18465.50,18286.49,18448.49,
28-December-2022,18417.48,18491.59,18386.22,18443.33,
29-December-2022,18364.40,18516.61,18299.76,18495.35,
30-December-2022,18556.74,18585.75,18396.94,18425.17,
2-January-2023,18449.12,18528.73,18403.77,18513.84,
3-January-2023,18491.47,18571.39,18475.26,18554.58,
4-January-2023,18553.91,18563.86,18335.56,18352.74,
5-January-2023,18406.87,18429.45,18212.55,18316.06,
6-January-2023,18323.04,18367.61,18120.72,18182.48,
9-January-2023,18264.42,18442.27,18261.02,18408.36,
10-January-2023,18423.98,18425.42,18176.36,18235.18,
11-January-2023,18246.88,18294.67,18147.98,18215.39,
12-January-2023,18223.01,18266.19,18090.58,18183.93,
13-January-2023,18210.43,18312.64,18103.48,18274.09,
16-January-2023,18338.96,18358.67,18170.88,18209.24,
17-January-2023,18224.26,18359.16,18199.71,18345.11,
18-January-2023,18363.92,18464.12,18325.13,18449.47,
19-January-2023,18400.58,18438.53,18353.87,18392.75,
20-January-2023,18398.33,18424.00,18294.41,18303.82,
23-January-2023,18366.59,18431.58,18340.51,18394.37,
24-January-2023,18437.79,18474.13,18359.56,18387.69,
25-January-2023,18344.18,18361.20,18108.78,18148.16,
27-January-2023,18140.43,18140.97,17738.22,17852.25,
30-January-2023,17786.23,17972.21,17655.79,17888.98,
31-January-2023,17965.46,17976.64,17810.22,17935.75,
1-February-2023,18063.24,18236.35,17595.52,17861.68,
2-February-2023,17806.67,17913.25,17699.31,17863.07,
3-February-2023,17959.11,18089.70,17801.11,18074.47,
6-February-2023,18072.50,18072.50,17941.58,18012.20,
7-February-2023,18008.97,18057.93,17902.31,17968.24,
8-February-2023,17985.26,18143.12,17983.12,18117.65,
9-February-2023,18129.00,18158.03,18032.69,18133.11,
10-February-2023,18093.95,18126.68,18053.28,18105.40,
13-February-2023,18096.69,18127.64,17958.79,17996.67,
14-February-2023,18024.75,18155.34,18009.59,18132.93,
15-February-2023,18118.22,18244.72,18067.92,18222.33,
16-February-2023,18301.25,18342.04,18231.19,18262.33,
17-February-2023,18175.20,18250.68,18115.15,18165.54,
20-February-2023,18181.33,18221.39,18049.45,18072.73,
21-February-2023,18101.45,18154.48,18030.86,18054.48,
22-February-2023,17976.08,17997.24,17758.73,17780.92,
23-February-2023,17784.97,17836.04,17668.93,17739.48,
24-February-2023,17805.13,17823.47,17649.44,17694.83,
27-February-2023,17654.65,17666.14,17508.98,17609.37,
28-February-2023,17619.92,17655.56,17496.15,17538.20,
1-March-2023,17580.97,17710.00,17577.14,17693.17,
2-March-2023,17663.14,17690.13,17564.61,17578.61,
3-March-2023,17680.55,17883.36,17679.65,17835.71,
6-March-2023,17896.09,18037.56,17895.34,17955.20,
8-March-2023,17871.39,18014.11,17842.65,17999.94,
9-March-2023,18033.37,18033.37,17822.16,17840.07,
10-March-2023,17682.79,17686.18,17572.58,17671.09,
13-March-2023,17634.78,17780.29,17369.46,17407.81,
14-March-2023,17387.93,17471.91,17237.38,17299.83,
15-March-2023,17404.35,17461.95,17199.95,17227.13,
16-March-2023,17210.67,17333.92,17102.42,17265.19,
17-March-2023,17381.49,17422.25,17247.99,17372.15,
20-March-2023,17293.41,17313.44,17100.50,17253.88,
21-March-2023,17337.44,17389.99,17281.27,17369.69,
22-March-2023,17422.85,17474.04,17384.20,17420.23,
23-March-2023,17372.18,17463.54,17317.47,17340.34,
24-March-2023,17334.41,17372.34,17172.77,17202.93,
27-March-2023,17207.73,17328.71,17172.26,17224.45,
28-March-2023,17249.99,17290.30,17139.18,17179.54,
29-March-2023,17162.47,17361.75,17161.85,17320.33,
31-March-2023,17397.37,17623.38,17397.37,17601.67,
3-April-2023,17653.41,17669.63,17564.48,17644.91,
5-April-2023,17640.09,17805.73,17640.02,17790.42,
6-April-2023,17767.51,17865.14,17736.10,17830.83,
10-April-2023,17838.85,17920.94,17834.10,17857.56,
11-April-2023,17905.88,17977.67,17877.49,17949.44,
12-April-2023,17953.84,18052.20,17947.26,18040.53,
13-April-2023,18036.55,18072.25,17968.33,18058.72,
17-April-2023,18038.32,18046.30,17829.84,17959.86,
18-April-2023,17979.95,18013.68,17884.42,17938.15,
19-April-2023,17939.12,17941.21,17852.64,17881.39,
20-April-2023,17881.86,17945.70,17856.74,17895.70,
21-April-2023,17872.06,17932.90,17823.01,17888.27,
24-April-2023,17940.10,18014.91,17883.92,18003.35,
25-April-2023,18033.31,18065.14,17979.47,18027.45,
26-April-2023,18006.33,18090.46,17976.74,18074.63,
27-April-2023,18078.24,18186.73,18064.91,18173.71,
28-April-2023,18191.89,18352.75,18156.80,18324.96,
2-May-2023,18370.06,18451.20,18365.31,18421.17,
3-May-2023,18383.76,18405.93,18329.29,18376.25,
4-May-2023,18397.98,18544.57,18359.51,18531.94,
5-May-2023,18400.88,18509.21,18345.05,18359.89,
8-May-2023,18390.24,18582.46,18390.24,18564.84,
9-May-2023,18595.07,18656.41,18536.49,18570.35,
10-May-2023,18594.25,18635.73,18518.82,18627.84,
11-May-2023,18682.49,18684.91,18604.12,18629.37,
12-May-2023,18617.66,18670.86,18526.60,18639.39,
15-May-2023,18660.70,18785.29,18613.11,18724.50,
16-May-2023,18764.01,18765.06,18611.28,18634.93,
17-May-2023,18636.15,18651.16,18465.02,18530.70,
18-May-2023,18630.07,18640.27,18440.02,18457.99,
19-May-2023,18487.65,18545.02,18384.27,18529.68,
22-May-2023,18496.81,18663.61,18496.27,18644.47,
23-May-2023,18688.01,18753.07,18663.29,18681.93,
24-May-2023,18645.04,18730.30,18611.91,18629.47,
25-May-2023,18602.66,18694.49,18567.96,18678.24,
26-May-2023,18696.11,18871.03,18688.49,18862.80,
29-May-2023,18942.99,19006.70,18942.99,18969.03,
30-May-2023,18961.94,19016.63,18937.21,18987.95,
